"key","name","spdx_id","url","node_id"
"agpl-3.0","GNU Affero General Public License v3.0","AGPL-3.0","https://api.github.com/licenses/agpl-3.0","MDc6TGljZW5zZTE="
"apache-2.0","Apache License 2.0","Apache-2.0","https://api.github.com/licenses/apache-2.0","MDc6TGljZW5zZTI="
"bsd-2-clause","BSD 2-Clause ""Simplified"" License","BSD-2-Clause","https://api.github.com/licenses/bsd-2-clause","MDc6TGljZW5zZTQ="
"bsd-3-clause","BSD 3-Clause ""New"" or ""Revised"" License","BSD-3-Clause","https://api.github.com/licenses/bsd-3-clause","MDc6TGljZW5zZTU="
"bsl-1.0","Boost Software License 1.0","BSL-1.0","https://api.github.com/licenses/bsl-1.0","MDc6TGljZW5zZTI4"
"cc0-1.0","Creative Commons Zero v1.0 Universal","CC0-1.0","https://api.github.com/licenses/cc0-1.0","MDc6TGljZW5zZTY="
"epl-2.0","Eclipse Public License 2.0","EPL-2.0","https://api.github.com/licenses/epl-2.0","MDc6TGljZW5zZTMy"
"gpl-2.0","GNU General Public License v2.0","GPL-2.0","https://api.github.com/licenses/gpl-2.0","MDc6TGljZW5zZTg="
"gpl-3.0","GNU General Public License v3.0","GPL-3.0","https://api.github.com/licenses/gpl-3.0","MDc6TGljZW5zZTk="
"lgpl-2.1","GNU Lesser General Public License v2.1","LGPL-2.1","https://api.github.com/licenses/lgpl-2.1","MDc6TGljZW5zZTEx"
"mit","MIT License","MIT","https://api.github.com/licenses/mit","MDc6TGljZW5zZTEz"
"mpl-2.0","Mozilla Public License 2.0","MPL-2.0","https://api.github.com/licenses/mpl-2.0","MDc6TGljZW5zZTE0"
"unlicense","The Unlicense","Unlicense","https://api.github.com/licenses/unlicense","MDc6TGljZW5zZTE1"
